BasketballDrive__QP_32_nF_5_MSizeL1_16384_AssL1_4_MSizeLL_8388608_AssLL_2_Word_32	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
TComRdCost::xGetSAD8	29270585116	8480375926	1171879802	152589	8316051	151094	12	1235	0	29270432515	8472058640	1171728708	0.0221456959798 %	0.000521304918898 %	0.0877219298639 %	3.20377437248e-06 %	4.09967889348e-08 %	1.2794936591e-05 %
TComRdCost::xGetSAD16	21759543216	5884501328	385671264	51576	3505008	20382	18	4707	0	21759491622	5880991613	385650882	0.0127613352362 %	0.000237027034474 %	0.0562247681108 %	1.68571099057e-05 %	8.2722324735e-08 %	7.50697039186e-05 %
TComRdCost::xGetSAD32	14706390024	3824284964	111465308	20724	4011299	13506	26	11273	0	14706369274	3820262392	111451802	0.0217009899924 %	0.000140918335269 %	0.102262712872 %	6.06099933838e-05 %	1.76793896786e-07 %	0.00028642569322 %
TComRdCost::xCalcHADs8x8	13222145910	4984392980	3155145310	384612	16185938	2184427	47	0	30	13221761251	4968207042	3152960853	0.0877972767709 %	0.00290884704055 %	0.225692961265 %	3.60458469843e-07 %	3.5546423644e-07 %	3.6857127433e-07 %
TComRdCost::xGetSAD4	12861083670	4041043383	737894513	50198	4086341	90852	12	259	0	12861033460	4036956783	737803661	0.0239647722889 %	0.00039030925611 %	0.0874083968217 %	1.53627930094e-06 %	9.33047347168e-08 %	5.41961426653e-06 %
void	9232541434	5417347256	364133096	402780	3940547	22066938	9	0	19591	9232138645	5413406709	342046567	0.175904000783 %	0.00436261242778 %	0.449841276223 %	0.000130544635404 %	9.74812846965e-08 %	0.000338857849672 %
TComRdCost::xGetSAD64	7077354480	1803359160	21812040	5092	4236932	2906	44	16515	0	7077349344	1799105713	21809134	0.0476823112068 %	7.19477880384e-05 %	0.23229809894 %	0.000186003394938 %	6.21701232068e-07 %	0.000904846624799 %
TComRdCost::xGetComponentBits	7038926088	499628084	0	43057	0	0	1	0	0	7038883030	499628084	0	0 %	0 %	0 %	0 %	0 %	0 %
TComTrQuant::xRateDistOptQuant	6737633110	2537008061	1492316639	18535804	34401127	56173230	355	383	6797	6719096951	2502606551	1436136612	1.01337966513 %	0.27510853882 %	2.24787932827 %	6.99826277113e-05 %	5.26891260186e-06 %	0.000178193631305 %
TEncSearch::xPatternSearch	5305682803	2096256057	1848473003	343757	498603	339064	22	0	0	5305339024	2095757454	1848133939	0.0127715826873 %	0.00647903413686 %	0.0212350959282 %	2.37827248406e-07 %	4.14649740983e-07 %	0.0 %
